Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/11/08,152.23724,156.59660,149.04904,150.26025,12346042,0,0
12/12/08,148.00301,158.39339,147.14714,158.03804,11432756,0,0
12/15/08,157.16216,159.40440,152.70770,155.49049,13462324,0,0
12/16/08,157.41742,164.91492,155.79079,162.80280,14105081,0,0
12/17/08,159.47948,161.22623,156.36636,157.77777,11567821,0,0
12/18/08,158.50851,160.33534,154.70972,155.29529,9517473,0,0
12/19/08,155.65065,159.05405,154.65465,155.24023,11213975,0,0
12/22/08,154.43443,154.90491,145.46046,148.70370,7827365,0,0
12/23/08,150.36537,151.80681,148.48349,149.15916,7547845,0,0
12/24/08,150.89088,153.32332,149.33934,151.62663,3839157,0,0
12/26/08,152.18718,152.78278,149.30431,150.33034,3914282,0,0
12/29/08,150.26025,150.84084,145.93594,148.85886,7396396,0,0
12/30/08,150.55055,153.55856,149.50450,151.70671,7679313,0,0
12/31/08,152.25226,155.65565,151.45645,153.97897,5767826,0,0
1/2/09,154.45445,161.07108,152.90291,160.82082,7213779,0,0
1/5/09,160.66066,165.78578,157.65765,164.18919,9768222,0,0
1/6/09,166.65666,170.57057,163.35835,167.19720,12837550,0,0
1/7/09,164.32433,165.62062,159.53453,161.16617,8980011,0,0
1/8/09,159.29930,162.75775,158.82883,162.75775,7194199,0,0
1/9/09,163.91391,163.91391,156.85686,157.69269,8672319,0,0
1/12/09,158.31331,159.63463,155.27026,156.50150,6601991,0,0
1/13/09,156.04105,160.46046,155.35036,157.31732,8856135,0,0
1/14/09,155.15515,157.05705,149.02402,150.63564,10924864,0,0
1/15/09,148.93393,151.94194,143.53854,149.64464,11857131,0,0
1/16/09,152.66266,154.27928,147.99800,149.98499,10438351,0,0
1/20/09,149.71973,149.89990,141.51651,141.51651,10086304,0,0
1/21/09,144.31932,151.90190,144.31932,151.69170,9839151,0,0
1/22/09,149.16917,154.82983,147.72272,153.40340,16517466,0,0
1/23/09,154.78979,166.14615,152.26227,162.51251,21444134,0,0
1/26/09,162.58759,164.16417,160.44044,162.09709,9212179,0,0
1/27/09,163.38838,167.10210,162.29730,165.90590,9844745,0,0
1/28/09,169.15916,176.34134,168.32332,174.50951,15367417,0,0
1/29/09,172.44244,172.69769,170.22522,171.83183,14553032,0,0
1/30/09,172.51752,174.57457,168.16817,169.43443,9334656,0,0
2/2/09,167.31232,172.67267,166.16617,170.45546,10403386,0,0
2/3/09,171.45645,171.67168,167.08208,170.39540,13099887,0,0
2/4/09,170.20520,177.39740,169.75476,171.67168,13621165,0,0
